,well,Type,count,FirstGermTime,GermPercent,CI_lower_Germ,CI_upper_Germ,PeakGermTime,t50_Coolbear,CI_lower_t50,CI_upper_t50,MeanGermTime,CI_lower_MeanGermTime,CI_upper_MeanGermTime,CVG,CI_lower_CVG,CI_upper_CVG,WeightGermPercent,CI_lower_WGP,CI_upper_WGP,GermUncertainty,CI_lower_Uncert,CI_upper_Uncert
1,1 mM Ala,swelling,393,2,36.39,31.63,41.14,4,8.36,7.91,8.81,10.8,9.72,11.88,9.26,6.39,12.12,19.2,15.31,23.1,3.8,3.74,3.87
2,1 mM Ala,swelling,355,2,37.46,32.43,42.5,17,12.65,12.17,13.12,13.34,12.36,14.32,7.5,4.76,10.24,15.94,12.13,19.75,3.71,3.64,3.77
3,1 mM Ala,swelling,496,2,48.39,43.99,52.79,6,6.32,5.92,6.72,8.75,8.11,9.4,11.42,8.62,14.22,28.87,24.88,32.85,3.36,3.3,3.41
4,1 mM Arg,swelling,386,4,15.8,12.16,19.44,15,13.17,12.71,13.62,14.03,12.67,15.39,7.13,4.56,9.69,6.23,3.82,8.64,3.44,3.38,3.5
5,1 mM Arg,swelling,315,2,40.95,35.52,46.38,"8, 9",9.43,8.92,9.93,11.84,10.87,12.8,8.45,5.38,11.52,19.33,14.97,23.69,3.68,3.61,3.75
6,1 mM Arg,swelling,524,2,22.52,18.94,26.1,13,9.47,9.08,9.86,11.28,10.32,12.24,8.87,6.43,11.3,11.08,8.39,13.77,3.62,3.56,3.67
7,1 mM Glu,swelling,313,2,17.25,13.07,21.44,6,6.58,6.08,7.09,10.11,8.27,11.95,9.89,6.58,13.2,9.72,6.43,13,3.56,3.49,3.63
8,1 mM Glu,swelling,344,2,47.09,41.82,52.37,4,5.34,4.86,5.82,7.09,6.35,7.82,14.11,10.43,17.79,31.89,26.97,36.82,3.54,3.47,3.6
9,1 mM Glu,swelling,487,2,8.42,5.95,10.89,8,7.83,7.43,8.24,10.51,8.46,12.57,9.51,6.91,12.12,4.55,2.7,6.41,3.55,3.49,3.61
10,1 mM Pro,swelling,296,2,85.47,81.46,89.49,5,5.3,4.78,5.82,6.85,6.33,7.37,14.59,10.57,18.61,58.29,52.67,63.9,3.18,3.11,3.25
